anio,provincia_id,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tm,Rendimiento_Real_kgxha,Rendimiento_Predicho_kgxha,Error_Absoluto_kgxha,Error_Relativo_pct,Provincia_Nombre
2000,14,115500,115500,321700,2785,2824.25,39.25,1.41,Córdoba
1990,82,21000,20000,28000,1400,1583.39,183.39,13.1,Santa Fe
2016,30,13000,13000,27800,2138,2241.27,103.27,4.83,Entre Ríos
1995,54,500,100,80,800,1068.79,268.79,33.6,Misiones
2019,54,300,300,780,2600,2568.88,31.12,1.2,Misiones
1995,54,350,0,0,0,0.0,0.0,,Misiones
1985,90,9600,9600,16800,1750,1766.57,16.57,0.95,Tucumán
1980,14,30000,30000,60000,2000,2034.26,34.26,1.71,Córdoba
2012,30,131000,131000,355300,2712,2671.57,40.43,1.49,Entre Ríos
1975,30,260,230,297,1291,1362.11,71.11,5.51,Entre Ríos
2016,14,49000,49000,160900,3284,3267.5,16.5,0.5,Córdoba
1985,6,12500,12500,31300,2504,2178.38,325.62,13.0,Buenos Aires
1987,14,91800,91000,227500,2500,2284.89,215.11,8.6,Córdoba
2017,6,14650,13690,29215,2134,2296.2,162.2,7.6,Buenos Aires
2020,6,56000,54100,151270,2796,2818.44,22.44,0.8,Buenos Aires
1985,82,10000,10000,21000,2100,2068.3,31.7,1.51,Santa Fe
1989,82,350000,346500,756400,2183,2291.14,108.14,4.95,Santa Fe
2009,86,38000,37700,101036,2680,2532.85,147.15,5.49,Santiago del Estero
1999,14,10000,10000,29000,2900,2450.79,449.21,15.49,Córdoba
2006,22,6000,6000,10200,1700,1932.58,232.58,13.68,Chaco
2012,14,135000,133000,199500,1500,1504.39,4.39,0.29,Córdoba
1974,54,3500,3470,5205,1500,1419.0,81.0,5.4,Misiones
2011,6,27000,27000,44600,1652,1841.64,189.64,11.48,Buenos Aires
2009,54,10,9,23,2556,1910.73,645.27,25.25,Misiones
2018,6,14700,14100,45030,3194,2694.02,499.98,15.65,Buenos Aires
2007,6,69300,65400,133365,2039,2106.36,67.36,3.3,Buenos Aires
2007,22,8000,8000,15354,1919,2024.66,105.66,5.51,Chaco
1987,14,10,10,20,2000,1387.49,612.51,30.63,Córdoba
2005,42,39600,38700,83800,2165,2181.64,16.64,0.77,La Pampa
2022,14,71713,69742,89637,1285,1360.85,75.85,5.9,Córdoba
1994,66,30000,25000,50000,2000,1862.78,137.22,6.86,Salta
2014,30,13000,12300,34160,2777,2318.76,458.24,16.5,Entre Ríos
1996,82,49000,49000,100800,2057,2114.34,57.34,2.79,Santa Fe
2017,86,69000,69000,227700,3300,3296.84,3.16,0.1,Santiago del Estero
1990,6,3000,3000,6000,2000,1974.4,25.6,1.28,Buenos Aires
2013,6,42150,42100,153960,3657,3514.41,142.59,3.9,Buenos Aires
2014,30,71240,71140,225272,3167,3102.04,64.96,2.05,Entre Ríos
2015,6,9500,8200,26560,3239,2701.47,537.53,16.6,Buenos Aires
1984,6,12500,12500,17500,1400,1666.78,266.78,19.06,Buenos Aires
2021,14,383930,373066,1134788,3042,3332.71,290.71,9.56,Córdoba
2011,6,86000,83000,175400,2113,2155.84,42.84,2.03,Buenos Aires
1978,6,800,800,1280,1600,1599.64,0.36,0.02,Buenos Aires
1972,18,40,30,33,1100,1052.01,47.99,4.36,Corrientes
2002,6,35000,34800,50000,1437,1740.38,303.38,21.11,Buenos Aires
2009,30,138000,138000,398000,2884,2861.34,22.66,0.79,Entre Ríos
2004,82,293924,293924,732415,2492,2620.18,128.18,5.14,Santa Fe
1963,82,10,5,4,800,722.81,77.19,9.65,Santa Fe
1962,6,200,190,228,1200,1131.34,68.66,5.72,Buenos Aires
1984,6,3500,3300,4620,1400,1505.33,105.33,7.52,Buenos Aires
2014,22,58750,54750,87600,1600,1655.45,55.45,3.47,Chaco
2018,14,62469,61510,217615,3538,3503.76,34.24,0.97,Córdoba
1998,30,34000,31000,63000,2032,1970.61,61.39,3.02,Entre Ríos
1994,90,15200,15000,25500,1700,1891.45,191.45,11.26,Tucumán
2015,6,19130,18630,54321,2916,2809.46,106.54,3.65,Buenos Aires
1977,86,4220,4220,7260,1720,1839.37,119.37,6.94,Santiago del Estero
2006,14,57000,57000,162100,2844,2923.31,79.31,2.79,Córdoba
2013,42,110200,108000,270780,2507,2519.2,12.2,0.49,La Pampa
2002,82,4000,3500,6500,1857,1992.37,135.37,7.29,Santa Fe
1988,6,350,350,600,1714,1733.78,19.78,1.15,Buenos Aires
1979,66,5095,4895,8155,1666,1761.72,95.72,5.75,Salta
1978,86,100,100,180,1800,1560.87,239.13,13.28,Santiago del Estero
1984,54,3000,3000,4300,1433,1564.83,131.83,9.2,Misiones
2006,86,200,200,500,2500,1885.9,614.1,24.56,Santiago del Estero
1984,22,2220,2220,3800,1712,1768.32,56.32,3.29,Chaco
1988,42,7000,6800,12000,1765,1836.03,71.03,4.02,La Pampa
2009,6,37950,37950,144600,3810,3681.12,128.88,3.38,Buenos Aires
1994,22,800,800,1200,1500,1639.49,139.49,9.3,Chaco
1980,82,182000,180900,390000,2156,2268.15,112.15,5.2,Santa Fe
2015,42,92700,89800,354580,3949,3657.87,291.13,7.37,La Pampa
2001,22,5000,5000,10500,2100,2167.81,67.81,3.23,Chaco
1995,90,39000,39000,78000,2000,2048.79,48.79,2.44,Tucumán
1975,54,2500,2490,3237,1300,1399.37,99.37,7.64,Misiones
2023,86,22400,22220,50798,2286,2904.26,618.26,27.05,Santiago del Estero
1997,86,350,350,700,2000,1884.83,115.17,5.76,Santiago del Estero
1971,6,80,80,100,1250,1238.24,11.76,0.94,Buenos Aires
1965,54,200,198,217,1096,1077.95,18.05,1.65,Misiones
2017,90,2000,2000,5800,2900,2619.97,280.03,9.66,Tucumán
1987,6,150,150,300,2000,1604.2,395.8,19.79,Buenos Aires
1980,90,13000,12840,26964,2100,2030.95,69.05,3.29,Tucumán
2021,30,101500,101500,212600,2095,2128.04,33.04,1.58,Entre Ríos
2007,14,15000,15000,35357,2357,2401.02,44.02,1.87,Córdoba
2022,42,76100,72300,135240,1871,1904.49,33.49,1.79,La Pampa
2016,6,6300,6300,15600,2476,2646.68,170.68,6.89,Buenos Aires
1976,6,50,50,75,1500,1500.69,0.69,0.05,Buenos Aires
2001,30,93000,93000,229500,2468,2468.03,0.03,0.0,Entre Ríos
2015,6,134814,134814,448469,3327,3274.26,52.74,1.59,Buenos Aires
1985,6,200,200,400,2000,1791.31,208.69,10.43,Buenos Aires
1994,6,12900,12900,25300,1961,2009.4,48.4,2.47,Buenos Aires
1984,6,200,200,340,1700,1548.12,151.88,8.93,Buenos Aires
2018,82,26700,26700,87072,3261,2995.97,265.03,8.13,Santa Fe
